X,Y,OBJECTID,Facility_ID,Facility_Name,Facility_Type_Code,Facility_Type,Map_Symbol,Facility_Type_Detail,Facility_Type_Abbreviation,Licensed_Beds_Total,Telephone,County,Address_Full,latitude,longitude,CDPHE_HFEMS_Licensed,Operating_Status,Date_Data_Updated,Source
-103.201317,38.066273,836,18I529,BENT COUNTY CORRECTIONAL FACILITY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-456-2610,BENT,"11560 COUNTY ROAD FF. 75, LAS ANIMAS, CO 81054",38.066273,-103.201317,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.245407,39.025555,1003,180502,BUENA VISTA CORRECTIONAL COMPLEX,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-395-7233,CHAFFEE,"15125 US-24, BUENA VISTA, CO 81211",39.025555,-106.245407,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.819199,38.804638,1117,010507,CEDAR SPRINGS BEHAVIORAL HEALTH SYSTEM,012,Hospital,Hospital,Psychiatric Hospital,HOSP-PSY,76,719-633-4114,EL PASO,"2135 SOUTHGATE RD, COLORADO SPRINGS, CO 80906",38.804638,-104.819199,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.161285,38.424709,1121,180604,CENTENNIAL CORRECTIONAL FACILITY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-269-5520,FREMONT,"600 EVANS RD, CANON CITY, CO 81212",38.424709,-105.161285,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.822586,39.594833,1123,01NKZM,CENTENNIAL HOSPITAL A CAMPUS OF TMCA,01B,Hospital,Hospital,Licensed Only General Hospital,LICGEN,20,303-699-3000,ARAPAHOE,"14200 E ARAPAHOE RD, CENTENNIAL, CO 80112",39.594833,-104.822586,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.147118,39.944214,1125,010304,CENTENNIAL PEAKS HOSPITAL,012,Hospital,Hospital,Psychiatric Hospital,HOSP-PSY,104,303-673-9990,BOULDER,"2255 S 88TH ST, LOUISVILLE, CO 80027-9716",39.944214,-105.147118,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.973557,39.670555,1151,TC0001,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,01T,Hospital,Hospital,Transplant Hospital,TH,0,303-778-5671,DENVER,"2535 SOUTH DOWNING STREET #380, DENVER, CO 80210",39.670555,-104.973557,no,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.975491,39.670166,1152,TC0005,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,01T,Hospital,Hospital,Transplant Hospital,TH,0,303-778-1955,DENVER,"2525 S DOWNING ST, DENVER, CO 80210",39.670166,-104.975491,no,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.836922,39.741344,1177,COEG3Z,CHILDRENS HOSPITAL ASSOCIATION THE,019,Hospital,Hospital,Non-Participating Hospital - Obsolete,HOSP-NP,0,720-777-1234,ADAMS,"13123 EAST 16TH AVENUE, AURORA, CO 80045",39.741344,-104.836922,no,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.836922,39.741344,1178,TC0002,CHILDRENS HOSPITAL ASSOCIATION THE,01T,Hospital,Hospital,Transplant Hospital,TH,0,303-861-8888,ADAMS,"13123 EAST 16TH AVENUE, AURORA, CO 80045",39.741344,-104.836922,no,PENDING (CLOSING OR OPENING),2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.836922,39.741344,1179,010417,CHILDREN'S HOSPITAL COLORADO,016,Hospital,Hospital,Children's Hospital,HOSP-CHD,460,720-777-1234,ADAMS,"13123 E 16TH AVE, AURORA, CO 80045-7106",39.741344,-104.836922,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.757935,38.966011,1181,01B436,CHILDREN'S HOSPITAL COLORADO - COLORADO SPRINGS,016,Hospital,Hospital,Children's Hospital,HOSP-CHD,115,719-305-9590,EL PASO,"4090 BRIARGATE PKWY, COLORADO SPRINGS, CO 80920-7815",38.966011,-104.757935,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.992226,40.000381,1183,018MU3,CHILDREN'S HOSPITAL COLORADO - NORTH CAMPUS,016,Hospital,Hospital,Children's Hospital,HOSP-CHD,22,720-777-1234,BROOMFIELD,"469 STATE HIGHWAY 7, BROOMFIELD, CO 80023-8965",40.000381,-104.992226,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.008499,39.555756,1184,01F105,CHILDREN'S HOSPITAL COLORADO - SOUTH CAMPUS,016,Hospital,Hospital,Children's Hospital,HOSP-CHD,16,720-478-1234,DOUGLAS,"1811 PLAZA DR, HIGHLANDS RANCH, CO 80129-2450",39.555756,-105.008499,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.18347,39.369017,1218,COZVQ7,CLIMAX MOLYBDENUM COMPANY HOSPITAL,019,Hospital,Hospital,Non-Participating Hospital - Obsolete,HOSP-NP,0,,LAKE,"SCHOTT BLVD, CLIMAX, CO 80429",39.369017,-106.18347,no,PENDING (CLOSING OR OPENING),2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.172913,39.733986,1255,18E479,COLORADO CORRECTIONAL CENTER,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,303-273-1620,JEFFERSON,"15445 S GOLDEN RD, GOLDEN, CO 80401",39.733986,-105.172913,no,PENDING (CLOSING OR OPENING),2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.915497,39.740032,1270,18V346,"COLORADO HEALTH NETWORK, INC.",S65,Community Clinic,Clinic,Community Clinic-Voluntary,CCVOL,0,303-962-5317,DENVER,"6260 E COLFAX AVE, DENVER, CO 80220-1515",39.740032,-104.915497,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.033424,39.642212,1285,010493,COLORADO MENTAL HEALTH HOSPITAL IN FORT LOGAN,012,Hospital,Hospital,Psychiatric Hospital,HOSP-PSY,138,303-866-7080,DENVER,"3520 W OXFORD AVE, DENVER, CO 80236",39.642212,-105.033424,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.628891,38.290962,1286,010625,COLORADO MENTAL HEALTH HOSPITAL IN PUEBLO,012,Hospital,Hospital,Psychiatric Hospital,HOSP-PSY,516,719-546-4747,PUEBLO,"1600 W 24TH ST, PUEBLO, CO 81003-1411",38.290962,-104.628891,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.755539,38.865002,1303,18L191,COLORADO SPRINGS PEDIATRIC PRIMARY CARE,S65,Community Clinic,Clinic,Community Clinic-Voluntary,CCVOL,0,719-722-4516,EL PASO,"2233 ACADEMY PLACE, #105, COLORADO SPRINGS, CO 80909",38.865002,-104.755539,no,PENDING (CLOSING OR OPENING),2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.157927,38.440393,1305,1806U1,COLORADO STATE PENITENTIARY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-269-5186,FREMONT,"57500 E HIGHWAY 50, CANON CITY, CO 81212-9363",38.440393,-105.157927,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-108.617203,39.106239,1375,011119,COMMUNITY HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,60,970-644-3011,MESA,"2351 'G' ROAD, GRAND JUNCTION, CO 81505",39.106239,-108.617203,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.97834,39.654766,1457,010435,CRAIG HOSPITAL,015,Hospital,Hospital,Long Term Hospital,HOSP-LT,93,303-789-8000,ARAPAHOE,"3425 S CLARKSON ST, ENGLEWOOD, CO 80113-2811",39.654766,-104.97834,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-103.958153,38.162155,1475,18O145,CROWLEY COUNTY CORRECTIONAL FACILITY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-267-3548,CROWLEY,"6564 STATE HIGHWAY 96, OLNEY SPRINGS, CO 81062-8700",38.162155,-103.958153,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-108.149456,38.70958,1513,1811B6,DELTA CORRECTIONAL CENTER,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,970-874-5882,DELTA,"11363 LOCKHART RD, DELTA, CO 81416-8820",38.70958,-108.149456,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-108.047417,38.743221,1515,011145,DELTA COUNTY MEMORIAL HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,49,970-874-7681,DELTA,"1501 E 3RD ST, DELTA, CO 81416-2815",38.743221,-108.047417,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.990257,39.728134,1536,010444,DENVER HEALTH MEDICAL CENTER,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,555,303-436-4927,DENVER,"777 BANNOCK ST, DENVER, CO 80204-4507",39.728134,-104.990257,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.762077,39.88641,1537,18M592,DENVER HEALTH WINTER PARK MEDICAL CENTER,S62,Community Clinic,Clinic,Community Clinic & Emergency Center,CCEC,0,970-726-4299,GRAND,"145 PARSENN RD, WINTER PARK, CO 80482",39.88641,-105.762077,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.024185,39.735622,1546,1804GC,"DENVER INDIAN HEALTH AND FAMILY SERVICES, INC.",S65,Community Clinic,Clinic,Community Clinic-Voluntary,CCVOL,0,303-953-6600,DENVER,"2880 W HOLDEN PL, DENVER, CO 80204-3353",39.735622,-105.024185,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.856895,39.767811,1552,180402,DENVER RECEPTION AND DIAGNOSTIC CENTER DISPENSARY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,303-307-2301,DENVER,"10900 SMITH RD, DENVER, CO 80239-3262",39.767811,-104.856895,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.856895,39.767811,1553,180401,DENVER RECEPTION AND DIAGNOSTIC CENTER INFIRMARY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,50,303-307-2304,DENVER,"10900 SMITH RD, DENVER, CO 80239-3262",39.767811,-104.856895,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.979378,39.850128,1554,01O235,DENVER REGIONAL REHABILITATION HOSPITAL,013,Hospital,Hospital,Rehabilitation Hospital,HOSP-RHB,31,303-301-8700,ADAMS,"8451 PEARL ST STE 101, THORNTON, CO 80229-4803",39.850128,-104.979378,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.826752,39.557713,1556,01X753,DENVER SPRINGS,012,Hospital,Hospital,Psychiatric Hospital,HOSP-PSY,96,720-643-4300,DOUGLAS,"8835 AMERICAN WY, ENGLEWOOD, CO 80112",39.557713,-104.826752,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.865639,39.767307,1560,1804UR,DENVER WOMEN'S CORRECTIONAL FACILITY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,303-307-2301,DENVER,"3600 HAVANA ST, DENVER, CO 80239-3266",39.767307,-104.865639,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.242841,38.438549,1604,180606,DOC CLINICAL SERVICES INFIRMARY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,32,719-269-4250,FREMONT,"275 W HWY 50, CANON CITY, CO 81212",38.438549,-105.242841,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-103.649277,40.254757,1642,25017J,EAST MORGAN COUNTY HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,970-842-6222,MORGAN,"2400 W EDISON ST, BRUSH, CO 80723-1640",40.254757,-103.649277,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.891685,39.722897,1651,01H140,EATING RECOVERY CENTER,01C,Hospital,Hospital,Licensed Only Psychiatric Hospital,LICPSY,72,303-825-8584,DENVER,"8199 E 1ST AVE, DENVER, CO 80230-7163",39.722897,-104.891685,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.968376,39.745224,1652,01C959,EATING RECOVERY CENTER A BEHAVIORAL HOSPITAL,01C,Hospital,Hospital,Licensed Only Psychiatric Hospital,LICPSY,36,720-258-4031,DENVER,"1830 N FRANKLIN ST STE 500, DENVER, CO 80218",39.745224,-104.968376,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.047081,39.477406,1701,1804SY,EMERGENCY & URGENT CARE BRECKENRIDGE,S62,Community Clinic,Clinic,Community Clinic & Emergency Center,CCEC,0,970-453-1010,SUMMIT,"555 S PARK AVE, BRECKENRIDGE, CO 80424",39.477406,-106.047081,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.156227,39.50248,1702,18041P,EMERGENCY & URGENT CARE COPPER,S62,Community Clinic,Clinic,Community Clinic & Emergency Center,CCEC,0,970-968-2330,SUMMIT,"860 COPPER RD, COPPER MOUNTAIN, CO 80443",39.50248,-106.156227,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.952797,39.604711,1705,18041J,EMERGENCY & URGENT CARE KEYSTONE,S62,Community Clinic,Clinic,Community Clinic & Emergency Center,CCEC,0,970-468-6677,SUMMIT,"1252 CO RD 8, KEYSTONE, CO 80435",39.604711,-105.952797,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.819794,38.803036,1710,COIWG1,EMORY JOHN BRADY HOSPITAL,019,Hospital,Hospital,Non-Participating Hospital - Obsolete,HOSP-NP,0,719-000-0000,EL PASO,"401 SOUTHGATE RD, COLORADO SPRINGS, CO 80901",38.803036,-104.819794,no,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.791321,38.828758,1720,010501,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF COLORADO SPRINGS,013,Hospital,Hospital,Rehabilitation Hospital,HOSP-RHB,64,719-630-8000,EL PASO,"325 S PARKSIDE DR, COLORADO SPRINGS, CO 80910-3134",38.828758,-104.791321,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.00029,39.573635,1721,01A933,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LITTLETON,013,Hospital,Hospital,Rehabilitation Hospital,HOSP-RHB,60,303-334-1100,ARAPAHOE,"1001 W MINERAL AVE, LITTLETON, CO 80120-4507",39.573635,-105.00029,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.514091,40.372314,1762,010302,ESTES PARK MEDICAL CENTER,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,23,970-577-4470,LARIMER,"555 PROSPECT AVE, ESTES PARK, CO 80517-6312",40.372314,-105.514091,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-108.735985,39.164284,1823,2511OC,FAMILY HEALTH WEST HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,970-858-3900,MESA,"300 W OTTLEY AVE, FRUITA, CO 81521",39.164284,-108.735985,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-102.839905,40.681568,1874,18017C,FLEMING FAMILY HEALTH CENTER,S65,Community Clinic,Clinic,Community Clinic-Voluntary,CCVOL,0,970-774-6123,LOGAN,"104 W LARIMER STREET, FLEMING, CO 80728",40.681568,-102.839905,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.236305,40.014862,1897,010323,FOOTHILLS HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,181,303-415-7440,BOULDER,"4747 ARAPAHOE AVE, BOULDER, CO 80303",40.014862,-105.236305,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.224122,38.44737,1920,1806XD,FOUR MILE CORRECTIONAL CENTER,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-269-5374,FREMONT,"HWY 50 E & EVANS BLVD, CANON CITY, CO 81212",38.44737,-105.224122,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.161285,38.424709,1930,180605,FREMONT CORRECTIONAL FACILITY,S63,Community Clinic,Clinic,Community Clinic-DOC,CCDOC,0,719-269-5080,FREMONT,"600 EVANS RD, CANON CITY, CO 81212",38.424709,-105.161285,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-107.764122,39.523056,2112,010830,GRAND RIVER MEDICAL CENTER,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,970-625-1510,GARFIELD,"501 AIRPORT RD, RIFLE, CO 81650-8510",39.523056,-107.764122,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.965951,38.898891,2151,18R936,GUNNISON VALLEY HEALTH MOUNTAIN CLINIC,S62,Community Clinic,Clinic,Community Clinic & Emergency Center,CCEC,0,970-349-0321,GUNNISON,"12 SNOWMASS RD AXTEL STE 100, MOUNT CRESTED BUTTE, CO 81225",38.898891,-106.965951,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.924393,38.551147,2153,010909,GUNNISON VALLEY HOSPITAL,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,24,970-641-1456,GUNNISON,"711 N TAYLOR ST, GUNNISON, CO 81230-2296",38.551147,-106.924393,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-102.630775,40.641441,2206,010112,HAXTUN HOSPITAL DISTRICT,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,970-774-6123,PHILLIPS,"235 W FLETCHER ST, HAXTUN, CO 80731",40.641441,-102.630775,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-106.007607,38.542908,2238,010628,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,014,Hospital,Hospital,Critical Access Hospital,HOSP-CAH,25,719-530-2200,CHAFFEE,"1000 RUSH DR, SALIDA, CO 81201-9627",38.542908,-106.007607,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.907089,39.561672,2276,01B953,HIGHLANDS BEHAVIORAL HEALTH SYSTEM,012,Hospital,Hospital,Psychiatric Hospital,HOSP-PSY,86,720-348-2801,DOUGLAS,"8565 S POPLAR WAY, LITTLETON, CO 80130",39.561672,-104.907089,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.185369,38.747607,2285,COOOT0,HILL TOP HOSPITAL,019,Hospital,Hospital,Non-Participating Hospital - Obsolete,HOSP-NP,0,719-000-0000,TELLER,"POST OFFICE BOX 397, CRIPPLE CREEK, CO 80813",38.747607,-105.185369,no,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.08313,39.969784,2502,01I529,INTERMOUNTAIN HEALTH GOOD SAMARITAN HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,234,303-689-5212,BOULDER,"200 EXEMPLA CIR, LAFAYETTE, CO 80026-3370",39.969784,-105.08313,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-105.145483,39.771889,2505,01L1WU,INTERMOUNTAIN HEALTH LUTHERAN HOSPITAL,01B,Hospital,Hospital,Licensed Only General Hospital,LICGEN,226,303-425-4500,JEFFERSON,"12911 W 40TH AVE, WHEAT RIDGE, CO 80401",39.771889,-105.145483,yes,PENDING (CLOSING OR OPENING),2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.770851,39.965454,2506,010311,INTERMOUNTAIN HEALTH PLATTE VALLEY HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,98,303-498-1600,ADAMS,"1600 PRAIRIE CENTER PKWY, BRIGHTON, CO 80601-4006",39.965454,-104.770851,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.971222,39.745815,2507,010430,INTERMOUNTAIN HEALTH SAINT JOSEPH HOSPITAL,011,Hospital,Hospital,Short Term Hospital,HOSP-ACU,400,303-812-2000,DENVER,"1375 E 19TH AVE, DENVER, CO 80218",39.745815,-104.971222,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
-104.973953,40.402451,2548,01XQJB,JOHNSTOWN HEIGHTS BEHAVIORAL HEALTH,012,Hospital,Hospital,Psychiatric Hospital,HOSP-PSY,92,970-323-7709,LARIMER,"4770 LARIMER PKWY, JOHNSTOWN, CO 80534-8926",40.402451,-104.973953,yes,ACTIVE,2024/07/30 00:00:00+00,CDPHE Health Facilities and Emergency Medical Services Division
